;代码	座标x	座标y	怪物名称	范围	数量	时间	集中刷新几率	颜色
等级174  100 100  逐鹿★王★我命由于不由天          1000  2   60 0 250
等级174  100 100  逐鹿币★福利·BOSS                1000  5   30 0 250
等级174  100 100  元宝★福利·BOSS                  1000  5   30 0 250

等级176  100 100  龍族※修士                      3000  350 30 0 253
等级176  100 100  龍皇※冰宫之主：紫龍             1000  5  30 0 253
等级176  100 100  逐鹿★王★我命由于不由天          1000  2   60 0 250
等级176  100 100  逐鹿币★福利·BOSS                1000  5   30 0 250
等级176  100 100  元宝★福利·BOSS                  1000  5   30 0 250

等级178  100 100  精灵※天卫                      3000  350 30 0 253
等级178  100 100  精灵※秘境之主：妙依             1000  5  30 0 253
等级178  100 100  逐鹿★王★我命由于不由天          1000  2   60 0 250
等级178  100 100  逐鹿币★福利·BOSS                1000  5   30 0 250
等级178  100 100  元宝★福利·BOSS                  1000  5   30 0 250

等级180  100 100  精灵※天卫                      3000  350 30 0 253
等级180  100 100  精灵※秘境之主：妙依             1000  5  30 0 253
等级180  100 100  逐鹿★王★我命由于不由天          1000  2   60 0 250
等级180  100 100  逐鹿币★福利·BOSS                1000  5   30 0 250
等级180  100 100  元宝★福利·BOSS                  1000  5   30 0 250

;================五大陆
等级185  100 100  皇蝶·打神石【五十万倍爆率】      2000  300 30 0 251
等级185  100 100  皇蝶·打神石【五十万倍爆率】      2000  300 30 0 251
等级185  100 100  麒麟·天角蚁【一百万倍爆率】      2000  300 30 0 251
等级185  100 100  麒麟·天角蚁【一百万倍爆率】      2000  300 30 0 251
等级185  100 100  真龙·九幽獓【五百万倍爆率】      2000  300 30 0 251
等级185  100 100  雷帝·九叶剑草【一千万倍爆率】    2000  300 30 0 251
等级185  100 100  六翼·冰霜亚龙【五千万倍爆率】    2000  300 30 0 250
等级185  100 100  炽日战神：虚空【一亿倍爆率】     2000  300 30 0 250

等级190  100 100  麒麟·天角蚁【一百万倍爆率】      2000  300 30 0 251
等级190  100 100  麒麟·天角蚁【一百万倍爆率】      2000  300 30 0 251
等级190  100 100  真龙·九幽獓【五百万倍爆率】      2000  300 30 0 251
等级190  100 100  真龙·九幽獓【五百万倍爆率】      2000  300 30 0 251
等级190  100 100  雷帝·九叶剑草【一千万倍爆率】    2000  300 30 0 251
等级190  100 100  六翼·冰霜亚龙【五千万倍爆率】    2000  300 30 0 251
等级190  100 100  炽日战神：虚空【一亿倍爆率】     2000  300 30 0 250
等级190  100 100  盖代王者：恒宇【五亿倍爆率】     2000  300 30 0 250

等级195  100 100  炽日战神：虚空【一亿倍爆率】    2000  300 30 0 250
等级195  100 100  炽日战神：虚空【一亿倍爆率】    2000  300 30 0 250
等级195  100 100  盖代王者：恒宇【五亿倍爆率】    2000  300 30 0 254
等级195  100 100  盖代王者：恒宇【五亿倍爆率】    2000  300 30 0 254
等级195  100 100  九霄霸主：斗战【十亿倍爆率】    2000  300 30 0 250
等级195  100 100  九霄霸主：斗战【十亿倍爆率】    2000  300 30 0 250
等级195  100 100  傲视恒古：无始【百亿倍爆率】    2000  300 30 0 254
等级195  100 100  傲视恒古：无始【百亿倍爆率】    2000  300 30 0 254

等级200  100 100  盖代王者：恒宇【五亿倍爆率】    2000  300 30 0 250
等级200  100 100  盖代王者：恒宇【五亿倍爆率】    2000  300 30 0 250
等级200  100 100  九霄霸主：斗战【十亿倍爆率】    2000  300 30 0 250
等级200  100 100  九霄霸主：斗战【十亿倍爆率】    2000  300 30 0 250
等级200  100 100  傲视恒古：无始【百亿倍爆率】    2000  300 30 0 254
等级200  100 100  傲视恒古：无始【百亿倍爆率】    2000  300 30 0 254
等级200  100 100  灭世九天：弑神【千亿倍爆率】    2000  300 30 0 254
等级200  100 100  灭世九天：弑神【千亿倍爆率】    2000  300 30 0 254

等级205  100 100  神★王：威武霸絕【神魔主宰】      2000  300 30 0 249
等级205  100 100  神★王：威武霸絕【神魔主宰】      2000  300 30 0 249
等级205  100 100  神★王：威武霸絕【神魔主宰】      2000  300 30 0 249
等级205  100 100  妖★皇：恒古无敌【逆亂陰陽】      2000  300 30 0 249
等级205  100 100  妖★皇：恒古无敌【逆亂陰陽】      2000  300 30 0 249
等级205  100 100  妖★皇：恒古无敌【逆亂陰陽】      2000  300 30 0 249
等级205  100 100  仙★尊：独领八方【龍吟九霄】      2000  300 30 0 249
等级205  100 100  仙★尊：独领八方【龍吟九霄】      2000  300 30 0 249
等级205  100 100  仙★尊：独领八方【龍吟九霄】      2000  300 30 0 249

等级210  100 100  至尊：逆天★焚仙【無雙界】      3000  300 30 0 249
等级210  100 100  至尊：逆天★焚仙【無雙界】      3000  300 30 0 249
等级210  100 100  至尊：逆天★焚仙【無雙界】      3000  300 30 0 249
等级210  100 100  軒轅：破碎★混沌【無雙界】      3000  300 30 0 249
等级210  100 100  軒轅：破碎★混沌【無雙界】      3000  300 30 0 249
等级210  100 100  軒轅：破碎★混沌【無雙界】      3000  300 30 0 249
等级210  100 100  圣王：唯我★獨尊【無雙界】      3000  300 30 0 249
等级210  100 100  圣王：唯我★獨尊【無雙界】      3000  300 30 0 249
等级210  100 100  圣王：唯我★獨尊【無雙界】      3000  300 30 0 249


